place,title,time,pay,date
경기 수원시,유니클로 롯데몰 수원점 STAFF 모집(주5일 40시간근무),시간협의,"월급 1,850,000",8시간전
경기 안양시,매장 스태프 모집합니다.,시간협의,"월급 1,850,000",8시간전
경남 창원시,[UNIQLO] 롯데마트 마산 양덕점 단기 PT,시간협의,"시급 10,644",07/18
대구 동구,[유니클로]롯데몰 이시아폴리스점 파트타이머 모집(28 PT),시간협의,"시급 10,644",07/18
대구 동구,[UNIQLO]롯데몰 이시아폴리스점 매장 STAFF 모집합니다.,시간협의,"월급 1,850,000",07/18
경기 전체,[UNIQLO]김포 장기점 파트타이머 주간 28시간 모집합니다,시간협의,"시급 10,644",07/18
경기 전체,[UNIQLO]김포 장기점 스태프 모집합니다,시간협의,"월급 1,850,000",07/18
서울 서대문,유니클로 신촌 U-PLEX점 파트타이머 채용(주28시간),시간협의,"시급 10,644",07/17
서울 서대문,유니클로 신촌 U-PLEX점 매장 STAFF 모집합니다.,시간협의,"월급 1,850,000",07/17
서울 강남구,[유니클로] 신사점 파트타이머 모집(주14시간),시간협의,"시급 8,870",07/17
서울 강남구,[유니클로] 신사점 파트타이머 모집(주28시간),시간협의,"시급 10,644",07/17
서울 강북구,매장 단기 파트타이머(주 28시간) 모집합니다.,08:30~21:00,"시급 10,644",07/17
경기 광명시,파트타이머(주 14시간) 모집합니다.,시간협의,"시급 8,870",07/17
경기 광명시,매장 STAFF 모집합니다.,시간협의,"월급 1,850,000",07/17
광주 전체,[유니클로] 롯데아울렛 광주 월드컵점 STAFF 모집,시간협의,"월급 1,850,000",07/17
경남 진주시,"진주 롯데몰 유니클로 7,8월 단기 파트타이머 모집",시간협의,"시급 10,664",07/17
경남 진주시,진주 롯데몰 유니클로 STAFF 모집,시간협의,"월급 1,850,000",07/17
경기 의왕시,[UNIQLO]롯데마트 의왕점 매장 STAFF 모집합니다.,시간협의,"월급 1,850,000",07/17
경기 의왕시,[UNIQLO]롯데마트 의왕점 매장 STAFF 긴급 모집합니다.,시간협의,"월급 1,850,000",07/17
경남 김해시,[UNIQLO] 롯데마트 장유점 STAFF 모집합니다.,시간협의,"월급 1,850,000",07/16
경남 김해시,[UNIQLO] 롯데마트 장유점 유니클로 파트타이머 모집합니다.,시간협의,"시급 10,644",07/16
인천 부평구,[UNIQLO] 부평역사점 매장 STAFF 모집합니다.,시간협의,"월급 1,850,000",07/16
대구 동구,[유니클로]롯데몰 이시아폴리스점 파트타이머 모집(28 PT),시간협의,"시급 10,644",07/16
서울 구로구,유니클로 현대백화점 디큐브시티점 직원공고,시간협의,"월급 1,850,000",2분전
경기 오산시,[UNIQLO] 유니클로 오산점 파트타이머(P-14) 모집합니다,시간협의,"시급 8,870",1시간전
경기 오산시,[UNIQLO] 유니클로 오산점 파트타이머(P-28) 모집합니다,시간협의,"시급 10,644",1시간전
경기 오산시,[UNIQLO] 유니클로 오산점 매장STAFF 모집합니다,11:30~21:00,"월급 1,850,000",1시간전
울산 북구,유니클로 울산진장점 파트타이머 모집(주4일),시간협의,"시급 8,870",3시간전
울산 북구,유니클로 울산진장점 파트타이머 모집,시간협의,"시급 8,870",3시간전
경기 이천시,유니클로 이천점 매장 파트타이머(주 14시간) 모집합니다.,시간협의,"시급 8,870",3시간전
경기 전체,유니클로 이천점 매장 STAFF 모집합니다.,시간협의,"월급 1,850,000",3시간전
경기 전체,유니클로 롯데백화점 분당점 단기PT 채용 (주 14시간),시간협의,"시급 8,870",3시간전
경기 전체,유니클로 롯데백화점 분당점 단기PT 채용 (주 28시간),시간협의,"시급 10,644",3시간전
경기 전체,유니클로 롯데백화점 분당점 STAFF 채용,시간협의,"월급 1,850,000",3시간전
대구 달서구,유니클로 대구대천점 장기 파트타이머(주간28시간) 모집합니다.,시간협의,"시급 8,870",4시간전
경기 용인시,유니클로 롯데 라이프스타일몰 기흥점,시간협의,"월급 1,850,000",5시간전
경기 전체,[UNIQLO] 경기광주점 매장 스태프 모집 합니다.,시간협의,"월급 1,850,000",6시간전
경기 광주시,[UNIQLO] 경기광주점 매장 단기 파트타이머(28) 모집 합니다.,시간협의,"시급 8,870",6시간전
인천 연수구,[UNIQLO] 인천 스퀘어원점 매장 STAFF 모집합니다.,시간협의,"월급 1,850,000",6시간전
경기 시흥시,[UNIQLO] 이마트 시화점 매장 STAFF 모집 합니다.,시간협의,"월급 1,850,000",7시간전
경기 수원시,유니클로 롯데몰 수원점 STAFF 모집(주5일 40시간근무),시간협의,"월급 1,850,000",8시간전
경기 안양시,매장 스태프 모집합니다.,시간협의,"월급 1,850,000",8시간전
경남 창원시,[UNIQLO] 롯데마트 마산 양덕점 단기 PT,시간협의,"시급 10,644",07/18
대구 동구,[유니클로]롯데몰 이시아폴리스점 파트타이머 모집(28 PT),시간협의,"시급 10,644",07/18
대구 동구,[UNIQLO]롯데몰 이시아폴리스점 매장 STAFF 모집합니다.,시간협의,"월급 1,850,000",07/18
경기 전체,[UNIQLO]김포 장기점 파트타이머 주간 28시간 모집합니다,시간협의,"시급 10,644",07/18
경기 전체,[UNIQLO]김포 장기점 스태프 모집합니다,시간협의,"월급 1,850,000",07/18
서울 서대문,유니클로 신촌 U-PLEX점 파트타이머 채용(주28시간),시간협의,"시급 10,644",07/17
서울 서대문,유니클로 신촌 U-PLEX점 매장 STAFF 모집합니다.,시간협의,"월급 1,850,000",07/17
서울 강남구,[유니클로] 신사점 파트타이머 모집(주14시간),시간협의,"시급 8,870",07/17
서울 강남구,[유니클로] 신사점 파트타이머 모집(주28시간),시간협의,"시급 10,644",07/17
서울 강북구,매장 단기 파트타이머(주 28시간) 모집합니다.,08:30~21:00,"시급 10,644",07/17
경기 광명시,파트타이머(주 14시간) 모집합니다.,시간협의,"시급 8,870",07/17
경기 광명시,매장 STAFF 모집합니다.,시간협의,"월급 1,850,000",07/17
광주 전체,[유니클로] 롯데아울렛 광주 월드컵점 STAFF 모집,시간협의,"월급 1,850,000",07/17
경남 진주시,"진주 롯데몰 유니클로 7,8월 단기 파트타이머 모집",시간협의,"시급 10,664",07/17
경남 진주시,진주 롯데몰 유니클로 STAFF 모집,시간협의,"월급 1,850,000",07/17
경기 의왕시,[UNIQLO]롯데마트 의왕점 매장 STAFF 모집합니다.,시간협의,"월급 1,850,000",07/17
경기 의왕시,[UNIQLO]롯데마트 의왕점 매장 STAFF 긴급 모집합니다.,시간협의,"월급 1,850,000",07/17
경남 김해시,[UNIQLO] 롯데마트 장유점 STAFF 모집합니다.,시간협의,"월급 1,850,000",07/16
경남 김해시,[UNIQLO] 롯데마트 장유점 유니클로 파트타이머 모집합니다.,시간협의,"시급 10,644",07/16
인천 부평구,[UNIQLO] 부평역사점 매장 STAFF 모집합니다.,시간협의,"월급 1,850,000",07/16
대구 동구,[유니클로]롯데몰 이시아폴리스점 파트타이머 모집(28 PT),시간협의,"시급 10,644",07/16
