place,title,time,pay,date
경기 성남시,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하),13:00~21:00,"일급 85,000",3시간전
경기 성남시,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하),13:00~21:00,"일급 85,000",3시간전
서울 서초구,[신세계L&B] 와인앤모어데일리 양재점 와인판매 스탭 모집(토일월근무),14:00~22:00,"일급 85,000",3시간전
경기 성남시,[신세계L&B] 와인앤모어데일리 양재점 와인판매 스탭 모집(토일월근무),14:00~22:00,"일급 85,000",3시간전
경기 과천시,[신세계L&B] 와인앤모어데일리 양재점 와인판매 스탭 모집(토일월근무),14:00~22:00,"일급 85,000",3시간전
서울 송파구,[신세계L&B] 와인앤모어데일리 남부터미널점 와인판매 스탭 모집(7월~),13:00~21:00,"일급 85,000",3시간전
서울 강남구,[신세계L&B] 와인앤모어데일리 남부터미널점 와인판매 스탭 모집(7월~),13:00~21:00,"일급 85,000",3시간전
서울 강남구,[신세계L&B] 와인앤모어데일리 개포점 와인판매 스탭 모집(월 7일근무),12:00~20:00,"일급 85,000",3시간전
서울 강남구,[신세계L&B] 와인앤모어데일리 개포점 와인판매 스탭 모집(월 7일근무),12:00~20:00,"일급 85,000",3시간전
서울 동작구,[신세계L&B] 이마트에브리데이 사당동점 와인 판매 스탭 알바 모집(이수역),12:00~20:00,"일급 85,000",3시간전
서울 동작구,[신세계L&B] 이마트에브리데이 사당동점 와인 판매 스탭 알바 모집(이수역),12:00~20:00,"일급 85,000",3시간전
서울 관악구,[신세계L&B] 이마트에브리데이 사당동점 와인 판매 스탭 알바 모집(이수역),12:00~20:00,"일급 85,000",3시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 성남시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 수원시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
서울 전체,[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집,12:00~20:00,"일급 85,000",3시간전
서울 영등포,[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집,12:00~20:00,"일급 85,000",3시간전
서울 용산구,[신세계L&B] 신세계백화점 명동점 매장 와인판매 알바 모집(경력우대),11:00~19:00,"일급 85,000",3시간전
서울 동작구,[신세계L&B] 신세계백화점 명동점 매장 와인판매 알바 모집(경력우대),11:00~19:00,"일급 85,000",3시간전
서울 중구,[신세계L&B] 신세계백화점 명동점 매장 와인판매 알바 모집(경력우대),11:00~19:00,"일급 85,000",3시간전
경기 김포시,[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급),13:00~21:00,"일급 85,000",3시간전
경기 파주시,[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급),13:00~21:00,"일급 85,000",3시간전
경기 화성시,[신세계L&B] 와인앤모어 동탄카림점 와인 판매/진열 알바 모집,13:00~21:00,"일급 85,000",3시간전
경기 수원시,[신세계L&B] 와인앤모어 동탄카림점 와인 판매/진열 알바 모집,13:00~21:00,"일급 85,000",3시간전
서울 전체,[신세계L&B] 와인앤모어 대치점 와인 판매 고정 스탭 모집,11:00~19:00,"일급 85,000",3시간전
서울 서초구,[신세계L&B] 와인앤모어 대치점 와인 판매 고정 스탭 모집,11:00~19:00,"일급 85,000",3시간전
서울 강남구,[신세계L&B] 와인앤모어 대치점 와인 판매 고정 스탭 모집,11:00~19:00,"일급 85,000",3시간전
서울 중구,[신세계L&B] 와인앤모어 광화문점 매장 와인판매 알바 모집(경력우대),12:30~20:30,"일급 85,000",3시간전
서울 종로구,[신세계L&B] 와인앤모어 광화문점 매장 와인판매 알바 모집(경력우대),12:30~20:30,"일급 85,000",3시간전
서울 중구,[신세계L&B] 와인앤모어 광화문점 매장 와인판매 알바 모집(경력우대),12:30~20:30,"일급 85,000",3시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 파주시,[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급),13:00~21:00,"일급 85,000",48분전
경기 고양시,[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급),13:00~21:00,"일급 85,000",48분전
경기 김포시,[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급),13:00~21:00,"일급 85,000",48분전
서울 동작구,[신세계L&B] 이마트에브리데이 사당동점 와인 판매 스탭 알바 모집(이수역),12:00~20:00,"일급 85,000",2시간전
서울 동작구,[신세계L&B] 이마트에브리데이 사당동점 와인 판매 스탭 알바 모집(이수역),12:00~20:00,"일급 85,000",2시간전
경기 성남시,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하),13:00~21:00,"일급 85,000",3시간전
경기 성남시,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하),13:00~21:00,"일급 85,000",3시간전
경기 성남시,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하),13:00~21:00,"일급 85,000",3시간전
서울 서초구,[신세계L&B] 와인앤모어데일리 양재점 와인판매 스탭 모집(토일월근무),14:00~22:00,"일급 85,000",3시간전
경기 성남시,[신세계L&B] 와인앤모어데일리 양재점 와인판매 스탭 모집(토일월근무),14:00~22:00,"일급 85,000",3시간전
경기 과천시,[신세계L&B] 와인앤모어데일리 양재점 와인판매 스탭 모집(토일월근무),14:00~22:00,"일급 85,000",3시간전
서울 송파구,[신세계L&B] 와인앤모어데일리 남부터미널점 와인판매 스탭 모집(7월~),13:00~21:00,"일급 85,000",3시간전
서울 강남구,[신세계L&B] 와인앤모어데일리 남부터미널점 와인판매 스탭 모집(7월~),13:00~21:00,"일급 85,000",3시간전
서울 강남구,[신세계L&B] 와인앤모어데일리 개포점 와인판매 스탭 모집(월 7일근무),12:00~20:00,"일급 85,000",3시간전
서울 강남구,[신세계L&B] 와인앤모어데일리 개포점 와인판매 스탭 모집(월 7일근무),12:00~20:00,"일급 85,000",3시간전
서울 동작구,[신세계L&B] 이마트에브리데이 사당동점 와인 판매 스탭 알바 모집(이수역),12:00~20:00,"일급 85,000",3시간전
서울 동작구,[신세계L&B] 이마트에브리데이 사당동점 와인 판매 스탭 알바 모집(이수역),12:00~20:00,"일급 85,000",3시간전
서울 관악구,[신세계L&B] 이마트에브리데이 사당동점 와인 판매 스탭 알바 모집(이수역),12:00~20:00,"일급 85,000",3시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 성남시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 수원시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
서울 전체,[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집,12:00~20:00,"일급 85,000",3시간전
서울 영등포,[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집,12:00~20:00,"일급 85,000",3시간전
서울 용산구,[신세계L&B] 신세계백화점 명동점 매장 와인판매 알바 모집(경력우대),11:00~19:00,"일급 85,000",3시간전
서울 동작구,[신세계L&B] 신세계백화점 명동점 매장 와인판매 알바 모집(경력우대),11:00~19:00,"일급 85,000",3시간전
서울 중구,[신세계L&B] 신세계백화점 명동점 매장 와인판매 알바 모집(경력우대),11:00~19:00,"일급 85,000",3시간전
경기 김포시,[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급),13:00~21:00,"일급 85,000",3시간전
경기 파주시,[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급),13:00~21:00,"일급 85,000",3시간전
경기 화성시,[신세계L&B] 와인앤모어 동탄카림점 와인 판매/진열 알바 모집,13:00~21:00,"일급 85,000",3시간전
경기 수원시,[신세계L&B] 와인앤모어 동탄카림점 와인 판매/진열 알바 모집,13:00~21:00,"일급 85,000",3시간전
서울 전체,[신세계L&B] 와인앤모어 대치점 와인 판매 고정 스탭 모집,11:00~19:00,"일급 85,000",3시간전
서울 서초구,[신세계L&B] 와인앤모어 대치점 와인 판매 고정 스탭 모집,11:00~19:00,"일급 85,000",3시간전
서울 강남구,[신세계L&B] 와인앤모어 대치점 와인 판매 고정 스탭 모집,11:00~19:00,"일급 85,000",3시간전
서울 중구,[신세계L&B] 와인앤모어 광화문점 매장 와인판매 알바 모집(경력우대),12:30~20:30,"일급 85,000",3시간전
서울 종로구,[신세계L&B] 와인앤모어 광화문점 매장 와인판매 알바 모집(경력우대),12:30~20:30,"일급 85,000",3시간전
서울 중구,[신세계L&B] 와인앤모어 광화문점 매장 와인판매 알바 모집(경력우대),12:30~20:30,"일급 85,000",3시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 파주시,[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급),13:00~21:00,"일급 85,000",48분전
경기 고양시,[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급),13:00~21:00,"일급 85,000",48분전
경기 김포시,[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급),13:00~21:00,"일급 85,000",48분전
서울 동작구,[신세계L&B] 이마트에브리데이 사당동점 와인 판매 스탭 알바 모집(이수역),12:00~20:00,"일급 85,000",2시간전
서울 동작구,[신세계L&B] 이마트에브리데이 사당동점 와인 판매 스탭 알바 모집(이수역),12:00~20:00,"일급 85,000",2시간전
경기 성남시,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하),13:00~21:00,"일급 85,000",3시간전
경기 성남시,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하),13:00~21:00,"일급 85,000",3시간전
경기 성남시,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하),13:00~21:00,"일급 85,000",3시간전
서울 서초구,[신세계L&B] 와인앤모어데일리 양재점 와인판매 스탭 모집(토일월근무),14:00~22:00,"일급 85,000",3시간전
경기 성남시,[신세계L&B] 와인앤모어데일리 양재점 와인판매 스탭 모집(토일월근무),14:00~22:00,"일급 85,000",3시간전
경기 과천시,[신세계L&B] 와인앤모어데일리 양재점 와인판매 스탭 모집(토일월근무),14:00~22:00,"일급 85,000",3시간전
서울 송파구,[신세계L&B] 와인앤모어데일리 남부터미널점 와인판매 스탭 모집(7월~),13:00~21:00,"일급 85,000",3시간전
서울 강남구,[신세계L&B] 와인앤모어데일리 남부터미널점 와인판매 스탭 모집(7월~),13:00~21:00,"일급 85,000",3시간전
서울 강남구,[신세계L&B] 와인앤모어데일리 개포점 와인판매 스탭 모집(월 7일근무),12:00~20:00,"일급 85,000",3시간전
서울 강남구,[신세계L&B] 와인앤모어데일리 개포점 와인판매 스탭 모집(월 7일근무),12:00~20:00,"일급 85,000",3시간전
서울 동작구,[신세계L&B] 이마트에브리데이 사당동점 와인 판매 스탭 알바 모집(이수역),12:00~20:00,"일급 85,000",3시간전
서울 동작구,[신세계L&B] 이마트에브리데이 사당동점 와인 판매 스탭 알바 모집(이수역),12:00~20:00,"일급 85,000",3시간전
서울 관악구,[신세계L&B] 이마트에브리데이 사당동점 와인 판매 스탭 알바 모집(이수역),12:00~20:00,"일급 85,000",3시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 성남시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 수원시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
서울 전체,[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집,12:00~20:00,"일급 85,000",3시간전
서울 영등포,[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집,12:00~20:00,"일급 85,000",3시간전
서울 용산구,[신세계L&B] 신세계백화점 명동점 매장 와인판매 알바 모집(경력우대),11:00~19:00,"일급 85,000",3시간전
서울 동작구,[신세계L&B] 신세계백화점 명동점 매장 와인판매 알바 모집(경력우대),11:00~19:00,"일급 85,000",3시간전
서울 중구,[신세계L&B] 신세계백화점 명동점 매장 와인판매 알바 모집(경력우대),11:00~19:00,"일급 85,000",3시간전
경기 김포시,[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급),13:00~21:00,"일급 85,000",3시간전
경기 파주시,[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급),13:00~21:00,"일급 85,000",3시간전
경기 화성시,[신세계L&B] 와인앤모어 동탄카림점 와인 판매/진열 알바 모집,13:00~21:00,"일급 85,000",3시간전
경기 수원시,[신세계L&B] 와인앤모어 동탄카림점 와인 판매/진열 알바 모집,13:00~21:00,"일급 85,000",3시간전
서울 전체,[신세계L&B] 와인앤모어 대치점 와인 판매 고정 스탭 모집,11:00~19:00,"일급 85,000",3시간전
서울 서초구,[신세계L&B] 와인앤모어 대치점 와인 판매 고정 스탭 모집,11:00~19:00,"일급 85,000",3시간전
서울 강남구,[신세계L&B] 와인앤모어 대치점 와인 판매 고정 스탭 모집,11:00~19:00,"일급 85,000",3시간전
서울 중구,[신세계L&B] 와인앤모어 광화문점 매장 와인판매 알바 모집(경력우대),12:30~20:30,"일급 85,000",3시간전
서울 종로구,[신세계L&B] 와인앤모어 광화문점 매장 와인판매 알바 모집(경력우대),12:30~20:30,"일급 85,000",3시간전
서울 중구,[신세계L&B] 와인앤모어 광화문점 매장 와인판매 알바 모집(경력우대),12:30~20:30,"일급 85,000",3시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(8월~,주말근무)",12:00~20:00,"일급 85,000",3시간전
