place,title,time,pay,date
경기 김포시,NBB/노브랜드버거 김포장기점/ 평일마감/주말,시간협의,"시급 8,900",2시간전
서울 전체,노브랜드버거 대치점  파트타이머 모집,시간협의,"시급 8,900",2시간전
서울 성동구,노브랜드버거 대치점 파트타이머 모집,시간협의,"시급 8,900",2시간전
경기 김포시,NBB/노브랜드버거 김포장기점/ 평일마감/주말,시간협의,"시급 8,900",3시간전
서울 송파구,신세계푸드 Test Kitchen 피자 월급직 채용,09:30~18:30,"시급 8,900",3시간전
서울 중랑구,노브랜드버거 중화역점 주25시간 구합니다.,09:00~14:30,"시급 8,900",3시간전
서울 강서구,[노브랜드버거 마곡점] 직원 모집 (시간/요일 협의 가능),시간협의,"시급 8,900",3시간전
서울 광진구,노브랜드버거 코엑스점 직원채용,12:00~21:00,"월급 1,860,000",5시간전
서울 전체,신세계푸드 TEST KITCHEN PIZZA 월급직 채용,09:30~18:30,"시급 8,900",6시간전
서울 동작구,(주)신세계 푸드 NBB 남부터미널점 주니어파트너 사원 모집,13:30~22:30,"시급 8,900",07/18
서울 강남구,노브랜드버거 대치대원빌딩점 파트타이머 모집,시간협의,"시급 8,900",07/18
서울 강남구,노브랜드버거 대치대원빌딩점 파트타이머 모집,13:30~22:30,"시급 8,900",07/18
서울 전체,[NBB 수유역점] 주말 근무하실 파트너 모집,11:30~20:30,"시급 8,900",07/17
서울 성동구,노브랜드버거 코엑스점 직원채용,12:00~21:00,"월급 1,860,000",07/17
부산 남구,"노브랜드버거(부산대연점) /주5일 40시간 [시급:8,900]",08:00~23:30,"시급 8,900",07/16
서울 성북구,노브랜드버거 미아사거리역점 마감 주니어트너 모집,16:30~22:30,"시급 8,900",07/16
서울 동대문,노브랜드버거 미아사거리역점 마감 주니어트너 모집,16:30~22:30,"시급 8,900",07/16
서울 강북구,노브랜드버거 미아사거리역점 파트타이머 모집,16:30~22:30,"시급 8,900",07/16
경북 경산시,[가맹점] (주)신세계푸드 NBB영남대점 매니저 모집,시간협의,"월급 2,300,000",07/15
서울 전체,(주)신세계푸드 보노보노 삼성점 경력 조리사 모집,13:00~22:00,"월급 2,000,130",07/15
서울 전체,(주)신세계푸드 보노보노 삼성점 조리사 모집(동종업계 경력자 우대),13:00~22:00,"시급 8,900",07/15
서울 관악구,노브랜드버거 코엑스점 직원채용,12:00~21:00,"월급 1,860,000",07/15
서울 광진구,[주5일근무] 보노보노스시 성수점  홀 직원  모집,11:00~21:30,"월급 2,150,000",07/14
경기 안성시,노브랜드버거 스타필드안성점 주말 근무자 모집합니다.,13:00~22:00,"시급 8,900",8분전
서울 금천구,노브랜드버거 가산디지털단지점 파트타이머 모집,11:00~20:00,"시급 8,900",17분전
서울 금천구,노브랜드버거 가산디지털단지점 파트타이머 모집,11:00~17:30,"시급 8,900",18분전
서울 송파구,노브랜드버거 거여역점 토~수 미들 아르바이트 모집,11:00~15:30,"시급 8,900",20분전
부산 해운대,"신세계 센텀시티 라운지&베키아에누보 바리스타, 주방보조 모집",11:00~20:00,"월급 1,860,100",30분전
서울 중랑구,노브랜드버거 중랑역점 주5일 근무자 모집,13:30~22:30,"시급 8,900",35분전
서울 광진구,[주5일근무]보노보노스시 성수점  홀 직원  모집,11:00~21:30,"월급 2,150,000",43분전
서울 광진구,급구) 신세계푸드 Test Kitchen 피자 평일 월급직 채용,09:30~18:30,"시급 8,900",52분전
서울 동작구,(주)신세계 푸드 NBB 남부터미널점 주니어파트너 사원 모집,13:30~22:30,"시급 8,900",57분전
서울 전체,[NBB 수유역점] 주말 근무하실 파트너 모집,11:30~20:30,"시급 8,900",1시간전
서울 서초구,신세계백화점 강남점 베키아에누보(라운지) 직원 모집,11:00~20:00,"월급 1,881,000",1시간전
서울 광진구,[주5일근무]보노보노스시 성수점  홀 직원  모집,11:00~21:30,"월급 2,150,000",1시간전
서울 강북구,노브랜드버거 미아사거리역점 파트타이머 모집,16:30~22:30,"시급 8,900",2시간전
서울 중랑구,노브랜드버거 중랑역점 주5일 근무자 모집,13:30~22:30,"시급 8,900",2시간전
서울 송파구,노브랜드버거 거여역점 토~수 미들 아르바이트 모집,11:00~15:30,"시급 8,900",2시간전
서울 전체,노브랜드버거 신금호역점 직원모집,17:00~22:30,"시급 8,900",2시간전
서울 중랑구,[주5일근무]보노보노스시 성수점  홀 주방 직원  모집,11:00~21:30,"월급 2,150,000",2시간전
경기 김포시,NBB/노브랜드버거 김포장기점/ 평일마감/주말,시간협의,"시급 8,900",2시간전
서울 전체,노브랜드버거 대치점  파트타이머 모집,시간협의,"시급 8,900",2시간전
서울 성동구,노브랜드버거 대치점 파트타이머 모집,시간협의,"시급 8,900",2시간전
경기 김포시,NBB/노브랜드버거 김포장기점/ 평일마감/주말,시간협의,"시급 8,900",3시간전
서울 송파구,신세계푸드 Test Kitchen 피자 월급직 채용,09:30~18:30,"시급 8,900",3시간전
서울 중랑구,노브랜드버거 중화역점 주25시간 구합니다.,09:00~14:30,"시급 8,900",3시간전
서울 강서구,[노브랜드버거 마곡점] 직원 모집 (시간/요일 협의 가능),시간협의,"시급 8,900",3시간전
서울 광진구,노브랜드버거 코엑스점 직원채용,12:00~21:00,"월급 1,860,000",5시간전
서울 전체,신세계푸드 TEST KITCHEN PIZZA 월급직 채용,09:30~18:30,"시급 8,900",6시간전
서울 동작구,(주)신세계 푸드 NBB 남부터미널점 주니어파트너 사원 모집,13:30~22:30,"시급 8,900",07/18
서울 강남구,노브랜드버거 대치대원빌딩점 파트타이머 모집,시간협의,"시급 8,900",07/18
서울 강남구,노브랜드버거 대치대원빌딩점 파트타이머 모집,13:30~22:30,"시급 8,900",07/18
서울 전체,[NBB 수유역점] 주말 근무하실 파트너 모집,11:30~20:30,"시급 8,900",07/17
서울 성동구,노브랜드버거 코엑스점 직원채용,12:00~21:00,"월급 1,860,000",07/17
부산 남구,"노브랜드버거(부산대연점) /주5일 40시간 [시급:8,900]",08:00~23:30,"시급 8,900",07/16
서울 성북구,노브랜드버거 미아사거리역점 마감 주니어트너 모집,16:30~22:30,"시급 8,900",07/16
서울 동대문,노브랜드버거 미아사거리역점 마감 주니어트너 모집,16:30~22:30,"시급 8,900",07/16
서울 강북구,노브랜드버거 미아사거리역점 파트타이머 모집,16:30~22:30,"시급 8,900",07/16
경북 경산시,[가맹점] (주)신세계푸드 NBB영남대점 매니저 모집,시간협의,"월급 2,300,000",07/15
서울 전체,(주)신세계푸드 보노보노 삼성점 경력 조리사 모집,13:00~22:00,"월급 2,000,130",07/15
서울 전체,(주)신세계푸드 보노보노 삼성점 조리사 모집(동종업계 경력자 우대),13:00~22:00,"시급 8,900",07/15
서울 관악구,노브랜드버거 코엑스점 직원채용,12:00~21:00,"월급 1,860,000",07/15
서울 광진구,[주5일근무] 보노보노스시 성수점  홀 직원  모집,11:00~21:30,"월급 2,150,000",07/14
