place,title,time,pay,date
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",18분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",18분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",18분전
경기 수원시,백종원 롤링파스타 홀관리 정규직원 모집,10:00~22:00,"월급 2,300,000",19분전
경기 수원시,백종원 롤링파스타 평일 홀서빙 알바 모집,17:30~21:30,"시급 8,720",20분전
경기 성남시,롤링파스타 서현역점에서 주방직원을 모집합니다(주5일),10:30~21:30,"월급 2,300,000",21분전
대구 수성구,[급구]백종원의 새마을식당 범어점에서 주방직원 구합니당,11:00~22:00,"월급 1,250,390",22분전
경기 시흥시,"홍콩반점0410 시흥배곧신도시점에서 주방직원(5일,6일근무) 모집합니다",10:30~22:30,"월급 2,550,000",23분전
인천 전체,홍콩반점 인천서구청점 주방 직원 모집합니다.,10:30~22:30,"월급 2,800,000",23분전
경남 양산시,홍콩반점 양산역점 주방직원 모집합니다.,10:00~22:00,"월급 2,600,000",23분전
서울 용산구,"홍콩반점 문배 본점에서 홀직원, 주방직원(초보가능) 모집합니다.",10:30~20:30,"월급 2,450,000",24분전
서울 서초구,역전우동방배점 수요일 ~ 금요일까지(3일근무) 오후 알바 모집,15:30~22:30,"시급 8,720",26분전
서울 서초구,역전우동방배점  주중오후(5일근무) 알바 모집,15:30~22:30,"시급 8,720",27분전
서울 강동구,(파트타임)[주문접수/포장]홍콩반점 명일동점에서 파트타이머 모집합니다,16:00~21:00,"시급 10,000",28분전
인천 서구,"평일점심,오후알바구합니다.",12:00~15:00,"시급 8,720",28분전
인천 서구,청라 역전우동 주말알바 구합니다 오후파트,17:00~22:00,"시급 8,720",29분전
서울 강남구,역전우동 압구정역점  주5일 직원 모집합니다.,11:00~22:00,"월급 2,100,000",29분전
인천 남동구,"새마을식당 만수향촌점 평일,주말 주방 및 서빙 알바 구함(주휴수당 지급)",11:00~14:00,"시급 8,720",29분전
인천 서구,"주5일,홀서빙알바,직원 구합니다(주말휴무)",11:00~21:00,"시급 8,720",30분전
서울 동작구,역전우동 압구정역점  직원 모집합니다.,10:00~22:00,"월급 2,950,000",30분전
전남 무안군,"더본코리아) 롤링파스타 남악 전남도청점 평일,주말 풀타임 파트 모십니다.",10:00~22:00,"시급 8,720",30분전
전남 목포시,목포하당점 롤링파스타  주말오전 아르바이트 구합니다,10:30~03:30,"시급 9,500",31분전
경기 성남시,롤링파스타 서현역점에서 홀직원을 모집합니다,10:30~21:30,"월급 2,600,000",32분전
경남 창원시,홍콩반점 메트로시티점에서 홀서빙 금요일 풀타임 알바를 모집합니다,10:30~22:00,"시급 8,720",32분전
서울 서초구,퀵반 서초본점 홀/주방 직원 구인,시간협의,"시급 8,750",34분전
광주 동구,롤링파스타 충장로점 매니저구함 - 주방매니저구함  (파스타/양식경력자우대),10:00~22:00,"월급 3,000,000",34분전
경기 평택시,홍콩반점 평택역점에서 함께 일할 홀서빙직원 모집합니다.,10:00~21:30,"월급 2,500,000",3분전
서울 전체,독산 홍콩반점0410 홀직원 모집,10:00~21:30,"월급 2,450,000",4분전
대구 수성구,(급구)주4일 새마을식당 대구범어점 야간주방 구합니다 월화수목,19:00~06:00,"월급 1,690,000",5분전
경북 경산시,리춘시장 경산 옥산점 주방보조 서빙하실 가족 구합니다.,16:00~02:00,"시급 9,000",6분전
울산 남구,한신포차 울산 삼산점 에서 홀직원 모집합니다.,시간협의,"월급 2,300,000",7분전
경남 김해시,주방직근무 월280만원.(초보가능),09:30~21:30,"월급 2,800,000",7분전
경남 김해시,주방직근무 월280만원.(초보가능),09:30~21:30,"월급 2,800,000",8분전
경남 김해시,주방직근무 월280만원.(초보가능),09:30~21:30,"월급 2,800,000",8분전
인천 서구,홀서빙/주말알바구합니다,11:00~21:00,"시급 8,720",9분전
경기 수원시,[수원역 주말 홀서빙]주말 홀서빙 알바 모집(홍콩반점0410),17:00~22:00,"시급 8,800",10분전
서울 동작구,미정국수 이수역점 주5일 직원 구합니다.,10:00~21:00,"월급 2,400,000",10분전
전남 순천시,순천연향점 홍콩반점 주중 저녁 홀 파트타이머 구합니다(월수금),17:00~20:30,"시급 8,720",10분전
경기 성남시,롤링파스타 서현역점에서 주말 홀서빙 파트타이머를 모집합니다,12:00~20:30,"시급 8,720",17분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",17분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",18분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",18분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",18분전
경기 수원시,백종원 롤링파스타 홀관리 정규직원 모집,10:00~22:00,"월급 2,300,000",19분전
경기 수원시,백종원 롤링파스타 평일 홀서빙 알바 모집,17:30~21:30,"시급 8,720",20분전
경기 성남시,롤링파스타 서현역점에서 주방직원을 모집합니다(주5일),10:30~21:30,"월급 2,300,000",21분전
대구 수성구,[급구]백종원의 새마을식당 범어점에서 주방직원 구합니당,11:00~22:00,"월급 1,250,390",22분전
경기 시흥시,"홍콩반점0410 시흥배곧신도시점에서 주방직원(5일,6일근무) 모집합니다",10:30~22:30,"월급 2,550,000",23분전
인천 전체,홍콩반점 인천서구청점 주방 직원 모집합니다.,10:30~22:30,"월급 2,800,000",23분전
경남 양산시,홍콩반점 양산역점 주방직원 모집합니다.,10:00~22:00,"월급 2,600,000",23분전
서울 용산구,"홍콩반점 문배 본점에서 홀직원, 주방직원(초보가능) 모집합니다.",10:30~20:30,"월급 2,450,000",24분전
서울 서초구,역전우동방배점 수요일 ~ 금요일까지(3일근무) 오후 알바 모집,15:30~22:30,"시급 8,720",26분전
서울 서초구,역전우동방배점  주중오후(5일근무) 알바 모집,15:30~22:30,"시급 8,720",27분전
서울 강동구,(파트타임)[주문접수/포장]홍콩반점 명일동점에서 파트타이머 모집합니다,16:00~21:00,"시급 10,000",28분전
인천 서구,"평일점심,오후알바구합니다.",12:00~15:00,"시급 8,720",28분전
인천 서구,청라 역전우동 주말알바 구합니다 오후파트,17:00~22:00,"시급 8,720",29분전
서울 강남구,역전우동 압구정역점  주5일 직원 모집합니다.,11:00~22:00,"월급 2,100,000",29분전
인천 남동구,"새마을식당 만수향촌점 평일,주말 주방 및 서빙 알바 구함(주휴수당 지급)",11:00~14:00,"시급 8,720",29분전
인천 서구,"주5일,홀서빙알바,직원 구합니다(주말휴무)",11:00~21:00,"시급 8,720",30분전
서울 동작구,역전우동 압구정역점  직원 모집합니다.,10:00~22:00,"월급 2,950,000",30분전
전남 무안군,"더본코리아) 롤링파스타 남악 전남도청점 평일,주말 풀타임 파트 모십니다.",10:00~22:00,"시급 8,720",30분전
전남 목포시,목포하당점 롤링파스타  주말오전 아르바이트 구합니다,10:30~03:30,"시급 9,500",31분전
경기 성남시,롤링파스타 서현역점에서 홀직원을 모집합니다,10:30~21:30,"월급 2,600,000",32분전
경남 창원시,홍콩반점 메트로시티점에서 홀서빙 금요일 풀타임 알바를 모집합니다,10:30~22:00,"시급 8,720",32분전
서울 서초구,퀵반 서초본점 홀/주방 직원 구인,시간협의,"시급 8,750",34분전
광주 동구,롤링파스타 충장로점 매니저구함 - 주방매니저구함  (파스타/양식경력자우대),10:00~22:00,"월급 3,000,000",34분전
경기 평택시,홍콩반점 평택역점에서 함께 일할 홀서빙직원 모집합니다.,10:00~21:30,"월급 2,500,000",3분전
서울 전체,독산 홍콩반점0410 홀직원 모집,10:00~21:30,"월급 2,450,000",4분전
대구 수성구,(급구)주4일 새마을식당 대구범어점 야간주방 구합니다 월화수목,19:00~06:00,"월급 1,690,000",5분전
경북 경산시,리춘시장 경산 옥산점 주방보조 서빙하실 가족 구합니다.,16:00~02:00,"시급 9,000",6분전
울산 남구,한신포차 울산 삼산점 에서 홀직원 모집합니다.,시간협의,"월급 2,300,000",7분전
경남 김해시,주방직근무 월280만원.(초보가능),09:30~21:30,"월급 2,800,000",7분전
경남 김해시,주방직근무 월280만원.(초보가능),09:30~21:30,"월급 2,800,000",8분전
경남 김해시,주방직근무 월280만원.(초보가능),09:30~21:30,"월급 2,800,000",8분전
인천 서구,홀서빙/주말알바구합니다,11:00~21:00,"시급 8,720",9분전
경기 수원시,[수원역 주말 홀서빙]주말 홀서빙 알바 모집(홍콩반점0410),17:00~22:00,"시급 8,800",10분전
서울 동작구,미정국수 이수역점 주5일 직원 구합니다.,10:00~21:00,"월급 2,400,000",10분전
전남 순천시,순천연향점 홍콩반점 주중 저녁 홀 파트타이머 구합니다(월수금),17:00~20:30,"시급 8,720",10분전
경기 성남시,롤링파스타 서현역점에서 주말 홀서빙 파트타이머를 모집합니다,12:00~20:30,"시급 8,720",17분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",17분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",18분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",18분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",18분전
경기 수원시,백종원 롤링파스타 홀관리 정규직원 모집,10:00~22:00,"월급 2,300,000",19분전
경기 수원시,백종원 롤링파스타 평일 홀서빙 알바 모집,17:30~21:30,"시급 8,720",20분전
경기 성남시,롤링파스타 서현역점에서 주방직원을 모집합니다(주5일),10:30~21:30,"월급 2,300,000",21분전
대구 수성구,[급구]백종원의 새마을식당 범어점에서 주방직원 구합니당,11:00~22:00,"월급 1,250,390",22분전
경기 시흥시,"홍콩반점0410 시흥배곧신도시점에서 주방직원(5일,6일근무) 모집합니다",10:30~22:30,"월급 2,550,000",23분전
인천 전체,홍콩반점 인천서구청점 주방 직원 모집합니다.,10:30~22:30,"월급 2,800,000",23분전
경남 양산시,홍콩반점 양산역점 주방직원 모집합니다.,10:00~22:00,"월급 2,600,000",23분전
서울 용산구,"홍콩반점 문배 본점에서 홀직원, 주방직원(초보가능) 모집합니다.",10:30~20:30,"월급 2,450,000",24분전
서울 서초구,역전우동방배점 수요일 ~ 금요일까지(3일근무) 오후 알바 모집,15:30~22:30,"시급 8,720",26분전
서울 서초구,역전우동방배점  주중오후(5일근무) 알바 모집,15:30~22:30,"시급 8,720",27분전
서울 강동구,(파트타임)[주문접수/포장]홍콩반점 명일동점에서 파트타이머 모집합니다,16:00~21:00,"시급 10,000",28분전
인천 서구,"평일점심,오후알바구합니다.",12:00~15:00,"시급 8,720",28분전
인천 서구,청라 역전우동 주말알바 구합니다 오후파트,17:00~22:00,"시급 8,720",29분전
서울 강남구,역전우동 압구정역점  주5일 직원 모집합니다.,11:00~22:00,"월급 2,100,000",29분전
인천 남동구,"새마을식당 만수향촌점 평일,주말 주방 및 서빙 알바 구함(주휴수당 지급)",11:00~14:00,"시급 8,720",29분전
인천 서구,"주5일,홀서빙알바,직원 구합니다(주말휴무)",11:00~21:00,"시급 8,720",30분전
서울 동작구,역전우동 압구정역점  직원 모집합니다.,10:00~22:00,"월급 2,950,000",30분전
전남 무안군,"더본코리아) 롤링파스타 남악 전남도청점 평일,주말 풀타임 파트 모십니다.",10:00~22:00,"시급 8,720",30분전
전남 목포시,목포하당점 롤링파스타  주말오전 아르바이트 구합니다,10:30~03:30,"시급 9,500",31분전
경기 성남시,롤링파스타 서현역점에서 홀직원을 모집합니다,10:30~21:30,"월급 2,600,000",32분전
경남 창원시,홍콩반점 메트로시티점에서 홀서빙 금요일 풀타임 알바를 모집합니다,10:30~22:00,"시급 8,720",32분전
서울 서초구,퀵반 서초본점 홀/주방 직원 구인,시간협의,"시급 8,750",34분전
광주 동구,롤링파스타 충장로점 매니저구함 - 주방매니저구함  (파스타/양식경력자우대),10:00~22:00,"월급 3,000,000",34분전
경기 평택시,홍콩반점 평택역점에서 함께 일할 홀서빙직원 모집합니다.,10:00~21:30,"월급 2,500,000",3분전
서울 전체,독산 홍콩반점0410 홀직원 모집,10:00~21:30,"월급 2,450,000",4분전
대구 수성구,(급구)주4일 새마을식당 대구범어점 야간주방 구합니다 월화수목,19:00~06:00,"월급 1,690,000",5분전
경북 경산시,리춘시장 경산 옥산점 주방보조 서빙하실 가족 구합니다.,16:00~02:00,"시급 9,000",6분전
울산 남구,한신포차 울산 삼산점 에서 홀직원 모집합니다.,시간협의,"월급 2,300,000",7분전
경남 김해시,주방직근무 월280만원.(초보가능),09:30~21:30,"월급 2,800,000",7분전
경남 김해시,주방직근무 월280만원.(초보가능),09:30~21:30,"월급 2,800,000",8분전
경남 김해시,주방직근무 월280만원.(초보가능),09:30~21:30,"월급 2,800,000",8분전
인천 서구,홀서빙/주말알바구합니다,11:00~21:00,"시급 8,720",9분전
경기 수원시,[수원역 주말 홀서빙]주말 홀서빙 알바 모집(홍콩반점0410),17:00~22:00,"시급 8,800",10분전
서울 동작구,미정국수 이수역점 주5일 직원 구합니다.,10:00~21:00,"월급 2,400,000",10분전
전남 순천시,순천연향점 홍콩반점 주중 저녁 홀 파트타이머 구합니다(월수금),17:00~20:30,"시급 8,720",10분전
경기 성남시,롤링파스타 서현역점에서 주말 홀서빙 파트타이머를 모집합니다,12:00~20:30,"시급 8,720",17분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",17분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",18분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",18분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",18분전
경기 수원시,백종원 롤링파스타 홀관리 정규직원 모집,10:00~22:00,"월급 2,300,000",19분전
경기 수원시,백종원 롤링파스타 평일 홀서빙 알바 모집,17:30~21:30,"시급 8,720",20분전
경기 성남시,롤링파스타 서현역점에서 주방직원을 모집합니다(주5일),10:30~21:30,"월급 2,300,000",21분전
대구 수성구,[급구]백종원의 새마을식당 범어점에서 주방직원 구합니당,11:00~22:00,"월급 1,250,390",22분전
경기 시흥시,"홍콩반점0410 시흥배곧신도시점에서 주방직원(5일,6일근무) 모집합니다",10:30~22:30,"월급 2,550,000",23분전
인천 전체,홍콩반점 인천서구청점 주방 직원 모집합니다.,10:30~22:30,"월급 2,800,000",23분전
경남 양산시,홍콩반점 양산역점 주방직원 모집합니다.,10:00~22:00,"월급 2,600,000",23분전
서울 용산구,"홍콩반점 문배 본점에서 홀직원, 주방직원(초보가능) 모집합니다.",10:30~20:30,"월급 2,450,000",24분전
서울 서초구,역전우동방배점 수요일 ~ 금요일까지(3일근무) 오후 알바 모집,15:30~22:30,"시급 8,720",26분전
서울 서초구,역전우동방배점  주중오후(5일근무) 알바 모집,15:30~22:30,"시급 8,720",27분전
서울 강동구,(파트타임)[주문접수/포장]홍콩반점 명일동점에서 파트타이머 모집합니다,16:00~21:00,"시급 10,000",28분전
인천 서구,"평일점심,오후알바구합니다.",12:00~15:00,"시급 8,720",28분전
인천 서구,청라 역전우동 주말알바 구합니다 오후파트,17:00~22:00,"시급 8,720",29분전
서울 강남구,역전우동 압구정역점  주5일 직원 모집합니다.,11:00~22:00,"월급 2,100,000",29분전
인천 남동구,"새마을식당 만수향촌점 평일,주말 주방 및 서빙 알바 구함(주휴수당 지급)",11:00~14:00,"시급 8,720",29분전
인천 서구,"주5일,홀서빙알바,직원 구합니다(주말휴무)",11:00~21:00,"시급 8,720",30분전
서울 동작구,역전우동 압구정역점  직원 모집합니다.,10:00~22:00,"월급 2,950,000",30분전
전남 무안군,"더본코리아) 롤링파스타 남악 전남도청점 평일,주말 풀타임 파트 모십니다.",10:00~22:00,"시급 8,720",30분전
전남 목포시,목포하당점 롤링파스타  주말오전 아르바이트 구합니다,10:30~03:30,"시급 9,500",31분전
경기 성남시,롤링파스타 서현역점에서 홀직원을 모집합니다,10:30~21:30,"월급 2,600,000",32분전
경남 창원시,홍콩반점 메트로시티점에서 홀서빙 금요일 풀타임 알바를 모집합니다,10:30~22:00,"시급 8,720",32분전
서울 서초구,퀵반 서초본점 홀/주방 직원 구인,시간협의,"시급 8,750",34분전
광주 동구,롤링파스타 충장로점 매니저구함 - 주방매니저구함  (파스타/양식경력자우대),10:00~22:00,"월급 3,000,000",34분전
경기 평택시,홍콩반점 평택역점에서 함께 일할 홀서빙직원 모집합니다.,10:00~21:30,"월급 2,500,000",3분전
서울 전체,독산 홍콩반점0410 홀직원 모집,10:00~21:30,"월급 2,450,000",4분전
대구 수성구,(급구)주4일 새마을식당 대구범어점 야간주방 구합니다 월화수목,19:00~06:00,"월급 1,690,000",5분전
경북 경산시,리춘시장 경산 옥산점 주방보조 서빙하실 가족 구합니다.,16:00~02:00,"시급 9,000",6분전
울산 남구,한신포차 울산 삼산점 에서 홀직원 모집합니다.,시간협의,"월급 2,300,000",7분전
경남 김해시,주방직근무 월280만원.(초보가능),09:30~21:30,"월급 2,800,000",7분전
경남 김해시,주방직근무 월280만원.(초보가능),09:30~21:30,"월급 2,800,000",8분전
경남 김해시,주방직근무 월280만원.(초보가능),09:30~21:30,"월급 2,800,000",8분전
인천 서구,홀서빙/주말알바구합니다,11:00~21:00,"시급 8,720",9분전
경기 수원시,[수원역 주말 홀서빙]주말 홀서빙 알바 모집(홍콩반점0410),17:00~22:00,"시급 8,800",10분전
서울 동작구,미정국수 이수역점 주5일 직원 구합니다.,10:00~21:00,"월급 2,400,000",10분전
전남 순천시,순천연향점 홍콩반점 주중 저녁 홀 파트타이머 구합니다(월수금),17:00~20:30,"시급 8,720",10분전
경기 성남시,롤링파스타 서현역점에서 주말 홀서빙 파트타이머를 모집합니다,12:00~20:30,"시급 8,720",17분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",17분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",18분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",18분전
경기 오산시,"역전우동0410 오산역점 정직원 / 주중, 주말 오후조 알바모집(상세내역확인",10:00~17:00,"월급 1,850,000",18분전
경기 수원시,백종원 롤링파스타 홀관리 정규직원 모집,10:00~22:00,"월급 2,300,000",19분전
경기 수원시,백종원 롤링파스타 평일 홀서빙 알바 모집,17:30~21:30,"시급 8,720",20분전
경기 성남시,롤링파스타 서현역점에서 주방직원을 모집합니다(주5일),10:30~21:30,"월급 2,300,000",21분전
대구 수성구,[급구]백종원의 새마을식당 범어점에서 주방직원 구합니당,11:00~22:00,"월급 1,250,390",22분전
경기 시흥시,"홍콩반점0410 시흥배곧신도시점에서 주방직원(5일,6일근무) 모집합니다",10:30~22:30,"월급 2,550,000",23분전
인천 전체,홍콩반점 인천서구청점 주방 직원 모집합니다.,10:30~22:30,"월급 2,800,000",23분전
경남 양산시,홍콩반점 양산역점 주방직원 모집합니다.,10:00~22:00,"월급 2,600,000",23분전
서울 용산구,"홍콩반점 문배 본점에서 홀직원, 주방직원(초보가능) 모집합니다.",10:30~20:30,"월급 2,450,000",24분전
서울 서초구,역전우동방배점 수요일 ~ 금요일까지(3일근무) 오후 알바 모집,15:30~22:30,"시급 8,720",26분전
서울 서초구,역전우동방배점  주중오후(5일근무) 알바 모집,15:30~22:30,"시급 8,720",27분전
서울 강동구,(파트타임)[주문접수/포장]홍콩반점 명일동점에서 파트타이머 모집합니다,16:00~21:00,"시급 10,000",28분전
인천 서구,"평일점심,오후알바구합니다.",12:00~15:00,"시급 8,720",28분전
인천 서구,청라 역전우동 주말알바 구합니다 오후파트,17:00~22:00,"시급 8,720",29분전
서울 강남구,역전우동 압구정역점  주5일 직원 모집합니다.,11:00~22:00,"월급 2,100,000",29분전
인천 남동구,"새마을식당 만수향촌점 평일,주말 주방 및 서빙 알바 구함(주휴수당 지급)",11:00~14:00,"시급 8,720",29분전
인천 서구,"주5일,홀서빙알바,직원 구합니다(주말휴무)",11:00~21:00,"시급 8,720",30분전
서울 동작구,역전우동 압구정역점  직원 모집합니다.,10:00~22:00,"월급 2,950,000",30분전
전남 무안군,"더본코리아) 롤링파스타 남악 전남도청점 평일,주말 풀타임 파트 모십니다.",10:00~22:00,"시급 8,720",30분전
전남 목포시,목포하당점 롤링파스타  주말오전 아르바이트 구합니다,10:30~03:30,"시급 9,500",31분전
경기 성남시,롤링파스타 서현역점에서 홀직원을 모집합니다,10:30~21:30,"월급 2,600,000",32분전
경남 창원시,홍콩반점 메트로시티점에서 홀서빙 금요일 풀타임 알바를 모집합니다,10:30~22:00,"시급 8,720",32분전
