place,title,time,pay,date
인천 미추홀,인하대역 원조부안집 직원 모집,12:00~22:00,"월급 2,200,000",6시간전
경북 구미시,원조부안집(문성점) 홀.주방 정규직(250만원) 16시~02시 구합니다.,16:00~24:00,"월급 2,500,000",07/17
인천 미추홀,인천 도화동 원조부안집에서 홀서빙 아르바이트를 구합니다 (청운대 후문),18:00~24:00,"시급 9,000",07/15
인천 미추홀,원조부안집 인하대역점 직원 모집,12:00~22:00,"월급 2,200,000",07/13
경북 구미시,원조부안집(문성점) 홀.주방 (110만원) 19시~23시 구합니다.,19:00~23:00,"월급 1,100,000",07/13
인천 미추홀,인천 도화동 원조부안집에서 홀서빙 아르바이트를 구합니다 (청운대 후문),18:00~24:00,"시급 9,000",07/13
인천 미추홀,인천 도화동 원조부안집에서 홀서빙 아르바이트를 구합니다 (청운대 후문),18:00~24:00,"시급 9,000",07/12
경북 구미시,원조부안집(문성점) 홀.주방 정규직(250만원) 16시~02시 구합니다.,16:00~24:00,"월급 2,500,000",07/12
경기 의왕시,원조부안집 내손점 홀서빙알바 모집합니다.,시간협의,"시급 10,500",07/11
충북 청주시,원조부안집 율량점에서 금토일 아르바이트생 찾아요,17:00~23:00,"시급 10,000",07/10
전북 익산시,원조부안집 익산부송점 아르바이트 구합니다.,시간협의,"시급 8,800",07/10
인천 남동구,부안집 구월로데오에서 같이 일할 친구를 구합니다,18:00~22:00,"시급 9,000",07/10
경기 김포시,원조부안집구래점에서 주중/주말 파트타이머 모집합니다.,시간협의,"시급 10,000",07/10
서울 영등포,성실하고 파이팅있게 함께 하실 점장님 모집(주6일/주5일 선택가능),14:00~23:00,"월급 2,700,000",07/09
서울 영등포,성실하고 파이팅있게 함께 하실 점장님 모집(주6일/주5일 선택가능),14:00~23:00,"월급 2,700,000",07/09
서울 영등포,성실하고 파이팅있게 함께 하실 점장님 모집(주6일/주5일 선택가능),14:00~23:00,"월급 2,700,000",07/09
경북 구미시,원조부안집 구미점 홀써빙 직원구해요 월급260만,16:00~02:00,"월급 2,600,000",07/09
경북 구미시,원조부안집 구미점 홀써빙 직원구해요 월급260만,16:00~02:00,"월급 2,600,000",07/09
경북 구미시,원조부안집 구미점 홀써빙 직원구해요 월급260만,16:00~02:00,"월급 2,600,000",07/09
전북 익산시,원조부안집 익산부송점 아르바이트 구합니다.,시간협의,"시급 8,800",07/09
전북 익산시,원조부안집 익산부송점 아르바이트 구합니다.,시간협의,"시급 8,800",07/09
전북 익산시,원조부안집 익산부송점 아르바이트 구합니다.,시간협의,"시급 8,800",07/09
전북 익산시,원조부안집 익산부송점 아르바이트 구합니다.,시간협의,"시급 8,800",07/09
