place,title,time,pay,date
전남 여수시,GS리테일 랄라블라 여수충무점 주말 미들 부담당 구인,12:30~18:00,"시급 8,720",2시간전
경기 성남시,GS리테일 H&B 랄라블라 야탑점  평일오픈 부담당 구인,10:00~15:00,"시급 8,720",2시간전
경기 성남시,GS리테일 H&B 랄라블라 야탑점 월~목 마감 부담당,17:00~22:00,"시급 8,720",2시간전
전북 전주시,GS리테일 lalavla 전북대점 평일 오픈 부담당 채용합니다.,11:00~14:30,"시급 8,720",2시간전
전북 전주시,[GS리테일] lalavla 전북대점 주말 마감 부담당 채용합니다.,17:00~20:30,"시급 8,720",2시간전
대구 달성군,GS리테일 H&B 랄라블라 테크노폴리스점 평일 단기알바 구인,18:30~22:00,"시급 8,720",3시간전
경기 군포시,GS리테일 H&B)랄라블라 산본역점 주말 오픈 부담당 모집,10:00~14:30,"시급 8,720",3시간전
전남 여수시,GS리테일 H&B 랄라블라 여수충무점 평일/주말 오픈부담당 구인,08:00~13:30,"시급 8,720",3시간전
경기 성남시,GS리테일 H&B 랄라블라 야탑점 월~목 마감 부담당,17:00~22:00,"시급 8,720",4시간전
경기 성남시,"GS리테일 H&B 랄라블라 야탑점  평일오픈(월,화) 부담당 구인",10:00~15:00,"시급 8,720",4시간전
서울 광진구,"GS리테일 랄라블라 건대점 주말(토,일) 오후(마감) 부담당 구인",16:00~22:00,"시급 8,720",5시간전
서울 광진구,GS리테일 랄라블라 건대점 평일 오후(마감) 부담당 구인,19:00~22:00,"시급 8,720",5시간전
인천 전체,GS리테일 랄라블라 작전역점 주말 오픈 부담당 구인,10:00~14:00,"시급 8,720",5시간전
경북 경산시,GS리테일 H&B) 랄라블라 영남대점 평일 오후 부담당 구인,15:30~17:30,"시급 8,720",07/18
경기 성남시,GS리테일 H&B 랄라블라 야탑점  평일오픈 부담당 구인,10:00~15:00,"시급 8,720",07/17
경기 김포시,GS리테일 랄라블라 김포구래점 주말마감 부담당 구인,18:30~23:00,"시급 8,720",07/16
인천 남동구,GS리테일 랄라블라 구월로데오점 평일오픈 부담당 구인,10:00~14:30,"시급 8,720",07/15
서울 광진구,GS리테일 랄라블라 건대점 평일 오후 부담당 구인,19:00~22:00,"시급 8,720",07/12
서울 광진구,"GS리테일 랄라블라 건대점 주말(토,일) 오후 부담당 구인",16:00~22:00,"시급 8,720",07/12
서울 강남구,GS리테일 랄라블라 신논현역점에서 주말 11-17시 구인합니다.,11:00~17:00,"시급 8,720",07/11
경기 김포시,[GS리테일 H&B사업부문] 랄라블라 김포구래점 주말 마감 부담당 모집,18:30~23:00,"시급 8,720",07/11
경기 김포시,"GS리테일 H&B, 랄라블라 김포구래점 주말 저녁 마감 아르바이트 구인",18:30~23:00,"시급 8,720",07/07
