place,title,time,pay,date
경기 과천시,[과천점]SSG.COM 스태프35(일 7시간/주5일 근무)모집,14:00~22:00,"시급 9,990",07/18
서울 영등포,[영등포점] SSG.COM 단기스태프(1개월 근무) 모집,08:00~16:00,"시급 9,700",07/18
경기 군포시,[산본점] SSG.COM 단기스태프(1개월 근무) 모집,08:00~16:00,"시급 9,700",07/18
서울 강서구,[가양점] SSG.COM 단기스태프(1개월 근무) 모집,08:00~16:00,"시급 9,700",07/18
부산 연제구,[연제점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급 9,990",07/18
광주 광산구,[광산점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급 9,990",07/17
대구 북구,[칠성점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급 9,990",07/17
제주 제주시,[제주점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급 9,990",07/17
강원 춘천시,[춘천점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급 9,990",07/17
울산 남구,[울산점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급 9,990",07/17
경기 오산시,[오산점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급 9,990",07/17
경기 안산시,[고잔점]SSG.COM 스태프(주 5일근무)모집,08:30~16:30,"시급 9,990",07/11
경기 용인시,[보라점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급 9,990",07/10
세종 가람동,[세종점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급 9,990",07/10
경남 창원시,[마산점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급 9,990",07/10
대전 서구,[둔산점] SSG.COM 스태프(주 5일 근무) 모집,08:00~16:00,"시급 9,990",07/10
대전 동구,[대전터미널점] SSG.COM 스태프(주 5일 근무) 모집,08:00~16:00,"시급 9,990",07/06
경북 김천시,[김천점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급 9,990",07/06
경북 영천시,[영천점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급 9,990",07/05
경남 사천시,[사천점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급 9,990",07/05
충남 서산시,[서산점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급 9,990",07/05
경기 남양주,[별내점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급 9,990",07/05
인천 중구,[동인천점]SSG.COM 스태프(주 5일근무)모집,08:00~16:00,"시급 9,990",07/04
인천 동구,[TRADERS 송림점]SSG.COM 스태프(주5일 근무)모집,08:00~16:00,"시급 9,990",07/04
