place,title,time,pay,date
경기 오산시,오산시청 근처 셀프주유소 자동세차보조및청소,15:00~21:00,"시급 8,720",07/14
부산 전체,초량self주유소주말아르바이트모집,08:00~18:00,"시급 9,220",07/14
경기 오산시,오산시청 근처 셀프주유소 자동세차보조및청소,15:00~21:00,"시급 8,720",07/13
서울 서초구,oo주유원 주말알바 구함oo,19:00~08:00,"시급 9,000",07/13
전북 군산시,삼성주유소 주유원 모집,시간협의,"시급 8,720",07/13
광주 북구,주유소 관리 판매원 구합니다.,09:00~18:00,"시급 8,720",07/13
서울 서대문,함께일할 직원및 아르바이트 (오전.오후) 모집합니다,06:00~22:00,"시급 8,720",07/13
경기 고양시,직원및 아르바이트 모집합니다.(오전.오후),08:00~22:00,"시급 8,720",07/13
부산 전체,초량self주유소주말아르바이트모집,08:00~18:00,"시급 9,220",07/13
서울 강남구,세차원 주6일 (245만원),08:00~19:00,"월급 2,447,000",07/12
서울 마포구,망원동주유소 아르바이트 직원분 모집합니다.,07:00~15:30,"시급 8,720",37분전
경기 안산시,주유소 직원 모집 합니다.,10:00~21:00,"월급 2,640,000",45분전
경기 이천시,주유원 모집,05:00~14:00,"시급 8,720",2시간전
서울 광진구,주유사원모집,14:00~23:00,"시급 11,236",3시간전
경기 군포시,주유사원모집,시간협의,"시급 8,720",4시간전
서울 마포구,주유직원 모집합니다,14:00~22:00,"월급 2,154,000",7시간전
전국 전체,고속도로주유소(급여250만이상)주5일근무/4대보험/ 직원모집,시간협의,"월급 2,500,000",7시간전
서울 강남구,주유원 모집합니다. 15시~24시 (216만원),15:00~24:00,"월급 2,160,000",8시간전
서울 서초구,oo주유원 주말야간알바 구함oo,19:00~08:00,"시급 9,000",19시간전
서울 서초구,oo주유원 주말알바 구함oo,19:00~08:00,"시급 9,000",19시간전
서울 마포구,망원동주유소 아르바이트 직원분 모집합니다.,07:00~15:30,"시급 8,720",07/18
경북 군위군,함께 성실히 근무할 직원 구합니다,시간협의,"시급 8,720",07/18
경기 의왕시,직원모집,13:00~22:00,"월급 2,200,000",07/17
경남 창원시,주말주유원 모집,12:00~18:00,"시급 8,720",07/17
서울 마포구,망원동주유소 아르바이트 직원분 모집합니다.,07:00~15:30,"월급 2,128,000",07/16
경기 양평군,일인 일실 속소 에어콘설치,13:30~22:00,"월급 2,100,000",07/16
서울 전체,sk풍한주유소/주유.세차직원모집합니다.,시간협의,"시급 8,720",07/16
서울 양천구,신양주유소 직원 및 알바 구합니다,시간협의,"시급 8,920",07/16
경기 의정부,셀프주유/세차직원모집(유경험자),13:00~21:00,"월급 1,900,000",07/16
경기 연천군,주유소직원모집,06:00~14:00,"월급 1,900,000",07/16
서울 마포구,망원동주유소 아르바이트 직원분 모집합니다.,07:00~15:30,"월급 2,128,000",07/15
인천 부평구,부개동sk셀프부개주유소에서 월~금.일오후아르바이트 모집합니다(채용정보확인),13:00~20:00,"시급 8,720",07/15
경기 안산시,해안 셀프주유소 직원 모집,10:00~21:00,"월급 2,640,000",07/15
광주 남구,주유 및 세차 (주 5일 근무 - 주말포함) -경력자 우대,시간협의,"시급 8,720",07/15
경기 오산시,"주유원 (토/일)주말알바(오전6시~낮12시, 하루6시간)",06:00~12:00,"시급 8,720",07/15
부산 전체,초량self주유소주말아르바이트모집,08:00~18:00,"시급 9,220",07/15
서울 서대문,SK 연희주유소 성실게 일하실 분 모집합니다.,시간협의,"시급 8,720",07/15
경기 양평군,기숙사 가능 일인일실,09:00~17:30,"월급 2,100,000",07/15
경남 양산시,양산주유소 주유 알바,06:00~16:00,"시급 8,720",07/14
경남 전체,주유원 모집,06:00~12:00,"시급 8,720",07/14
경기 오산시,오산시청 근처 셀프주유소 자동세차보조및청소,15:00~21:00,"시급 8,720",07/14
부산 전체,초량self주유소주말아르바이트모집,08:00~18:00,"시급 9,220",07/14
경기 오산시,오산시청 근처 셀프주유소 자동세차보조및청소,15:00~21:00,"시급 8,720",07/13
서울 서초구,oo주유원 주말알바 구함oo,19:00~08:00,"시급 9,000",07/13
전북 군산시,삼성주유소 주유원 모집,시간협의,"시급 8,720",07/13
광주 북구,주유소 관리 판매원 구합니다.,09:00~18:00,"시급 8,720",07/13
서울 서대문,함께일할 직원및 아르바이트 (오전.오후) 모집합니다,06:00~22:00,"시급 8,720",07/13
경기 고양시,직원및 아르바이트 모집합니다.(오전.오후),08:00~22:00,"시급 8,720",07/13
부산 전체,초량self주유소주말아르바이트모집,08:00~18:00,"시급 9,220",07/13
서울 강남구,세차원 주6일 (245만원),08:00~19:00,"월급 2,447,000",07/12
