place,title,time,pay,date
광주 서구,"할리스커피 광주아울렛점 월,화,수 마감 파트타이머 모집",18:00~22:00,"시급 8,720",1시간전
서울 관악구,할리스커피 신림고시촌점에서 함께 일하실 파트타이머를 모집합니다.,12:00~16:00,"시급 8,720",1시간전
서울 강북구,할리스커피 수유사거리점 저녁 미들PT구함(수.목),18:00~21:00,"시급 8,720",2시간전
서울 관악구,할리스커피 신림점 주말 마감 파트타이머 구합니다,18:00~22:00,"시급 8,720",2시간전
서울 종로구,[매니저] 주2회 휴무 매니저 구합니다.,13:00~21:00,"월급 1,850,000",2시간전
서울 광진구,할리스커피 청담삼성로점에서 함께 할 마감파트 정직원을 모집합니다.,13:00~22:00,"월급 2,100,000",2시간전
충북 청주시,할리스커피 오송점에서 월화 오픈 PT를 모집합니다.,07:30~13:30,"시급 8,720",2시간전
경기 성남시,"[할리스커피 분당수내엔타워점] 월, 화, 수, 목  미들PT 모집합니다.",10:00~13:30,"시급 8,720",2시간전
경기 성남시,"[할리스커피 분당수내엔타워점] 금, 토, 일 미들PT 모집합니다.",10:00~13:30,"시급 8,720",2시간전
경기 오산시,할리스커피 오산수청점에서 알바모집합니다.,17:00~23:00,"시급 8,720",2시간전
강원 속초시,할리스 속초영랑해변점 평일마감 파트타이머 모집합니다.,15:00~20:00,"시급 8,720",2시간전
강원 속초시,할리스 속초영랑해변점 주말미들 파트타이머 모집합니다.,12:00~19:00,"시급 8,720",3시간전
경기 성남시,"[할리스커피 분당수내엔타워점] 월, 화, 수  미들PT 모집합니다.",10:00~13:30,"시급 8,720",3시간전
서울 전체,할리스커피 청담삼성로점에서 함께 할 마감파트 정직원을 모집합니다.,13:00~22:00,"월급 2,100,000",3시간전
광주 서구,할리스커피 광주아울렛점 파트타이머 모집,시간협의,"시급 8,720",4시간전
경기 화성시,할리스화성융건릉점에서 평일 마감 파트타임 모집합니다.,19:30~22:00,"시급 9,000",4시간전
인천 남동구,"평일오픈( 월,화,목,금 ) 파트타이머 모집합니다.",12:00~15:00,"시급 8,720",4시간전
서울 용산구,할리스용산아이파크몰영풍문고점 매니저님 구합니다,13:00~22:00,"시급 8,720",4시간전
전북 익산시,"부송동할리스커피 익산부송점 화,수 마감알바 모집합니다.",19:00~24:00,"시급 8,720",4시간전
서울 노원구,할리스 당고개역점에서 평일 PT를 모집합니다.,12:30~15:30,"시급 8,720",5시간전
서울 종로구,[매니저] 주2회 휴무 매니저 구합니다.,13:00~21:00,"월급 1,850,000",5시간전
전남 여수시,할리스 여수웅천점에서 마감 직원을 구합니다.,15:30~22:30,"월급 1,500,000",5시간전
서울 전체,할리스커피 청담삼성로점에서 함께 할 마감파트 정직원을 모집합니다.,13:00~22:00,"월급 2,100,000",11시간전
서울 관악구,할리스커피신림사거리점에서 주3일(수~금)  미들 P/T를 구인합니다,13:00~18:00,"시급 8,720",17시간전
충북 청주시,할리스커피 청주명암레이크점 직원 채용,시간협의,"월급 1,830,000",21시간전
충북 청주시,"할리스커피 청주명암레이크점,금토일  주3일 12:30~16:30",12:30~16:30,"시급 8,720",21시간전
전남 여수시,할리스 여수웅천점에서 마감 직원을 구합니다.,15:30~22:30,"월급 1,200,000",5분전
부산 사상구,할리스 사상광장점 주말미들모집(여),10:00~17:00,"시급 9,000",9분전
전남 여수시,할리스커피 여수웅천점에서 직원을 구합니다.,09:00~15:30,"시급 8,720",9분전
경기 의정부,할리스커피 민락점에서  마감 직원 구합니다.,14:00~23:00,"시급 8,720",33분전
서울 송파구,할리스커피 아시아선수촌에서 성실하고 책임감 강한 알바/직원을 모십니다,18:00~22:00,"시급 9,100",42분전
서울 송파구,할리스커피 아시아선수촌에서 성실하고 책임감 강한 직원/매니저 모십니다,13:00~22:00,"시급 9,150",44분전
전북 전주시,"전주 신시가지 할리스커피 PT 모집(월화수목19-22시,금12-17시)",19:00~22:00,"시급 8,720",49분전
서울 서대문,할리스커피 서대문농협생명 빌딩점 아르바이트 직원 구합니다,16:00~20:00,"시급 9,000",55분전
충북 청주시,할리스커피 청주성화점에서 주말마감 PT를 모집합니다,16:00~23:00,"시급 8,720",1시간전
부산 해운대,"할리스커피 해운대점에서 평일 마감(월,화,수,목,금) 파트타이머 모집합니다.",18:00~23:00,"시급 8,720",1시간전
경기 화성시,할리스화성융건릉점에서 주말 마감 파트타임 모집합니다.,19:30~22:00,"시급 9,000",1시간전
부산 동래구,[명륜자이점] 할리스커피 평일 오전 PT 모집 합니다.,12:00~14:00,"시급 8,720",1시간전
충북 청주시,할리스커피 청주명암레이크점 직원 채용,시간협의,"월급 1,830,000",1시간전
인천 연수구,할리스커피 인천연수CGV점 주말 파트타이머 채용,13:00~17:00,"시급 8,720",1시간전
광주 서구,"할리스커피 광주아울렛점 월,화,수 마감 파트타이머 모집",18:00~22:00,"시급 8,720",1시간전
서울 관악구,할리스커피 신림고시촌점에서 함께 일하실 파트타이머를 모집합니다.,12:00~16:00,"시급 8,720",1시간전
서울 강북구,할리스커피 수유사거리점 저녁 미들PT구함(수.목),18:00~21:00,"시급 8,720",2시간전
서울 관악구,할리스커피 신림점 주말 마감 파트타이머 구합니다,18:00~22:00,"시급 8,720",2시간전
서울 종로구,[매니저] 주2회 휴무 매니저 구합니다.,13:00~21:00,"월급 1,850,000",2시간전
서울 광진구,할리스커피 청담삼성로점에서 함께 할 마감파트 정직원을 모집합니다.,13:00~22:00,"월급 2,100,000",2시간전
충북 청주시,할리스커피 오송점에서 월화 오픈 PT를 모집합니다.,07:30~13:30,"시급 8,720",2시간전
경기 성남시,"[할리스커피 분당수내엔타워점] 월, 화, 수, 목  미들PT 모집합니다.",10:00~13:30,"시급 8,720",2시간전
경기 성남시,"[할리스커피 분당수내엔타워점] 금, 토, 일 미들PT 모집합니다.",10:00~13:30,"시급 8,720",2시간전
경기 오산시,할리스커피 오산수청점에서 알바모집합니다.,17:00~23:00,"시급 8,720",2시간전
강원 속초시,할리스 속초영랑해변점 평일마감 파트타이머 모집합니다.,15:00~20:00,"시급 8,720",2시간전
강원 속초시,할리스 속초영랑해변점 주말미들 파트타이머 모집합니다.,12:00~19:00,"시급 8,720",3시간전
경기 성남시,"[할리스커피 분당수내엔타워점] 월, 화, 수  미들PT 모집합니다.",10:00~13:30,"시급 8,720",3시간전
서울 전체,할리스커피 청담삼성로점에서 함께 할 마감파트 정직원을 모집합니다.,13:00~22:00,"월급 2,100,000",3시간전
광주 서구,할리스커피 광주아울렛점 파트타이머 모집,시간협의,"시급 8,720",4시간전
경기 화성시,할리스화성융건릉점에서 평일 마감 파트타임 모집합니다.,19:30~22:00,"시급 9,000",4시간전
인천 남동구,"평일오픈( 월,화,목,금 ) 파트타이머 모집합니다.",12:00~15:00,"시급 8,720",4시간전
서울 용산구,할리스용산아이파크몰영풍문고점 매니저님 구합니다,13:00~22:00,"시급 8,720",4시간전
전북 익산시,"부송동할리스커피 익산부송점 화,수 마감알바 모집합니다.",19:00~24:00,"시급 8,720",4시간전
서울 노원구,할리스 당고개역점에서 평일 PT를 모집합니다.,12:30~15:30,"시급 8,720",5시간전
서울 종로구,[매니저] 주2회 휴무 매니저 구합니다.,13:00~21:00,"월급 1,850,000",5시간전
전남 여수시,할리스 여수웅천점에서 마감 직원을 구합니다.,15:30~22:30,"월급 1,500,000",5시간전
서울 전체,할리스커피 청담삼성로점에서 함께 할 마감파트 정직원을 모집합니다.,13:00~22:00,"월급 2,100,000",11시간전
서울 관악구,할리스커피신림사거리점에서 주3일(수~금)  미들 P/T를 구인합니다,13:00~18:00,"시급 8,720",17시간전
충북 청주시,할리스커피 청주명암레이크점 직원 채용,시간협의,"월급 1,830,000",21시간전
충북 청주시,"할리스커피 청주명암레이크점,금토일  주3일 12:30~16:30",12:30~16:30,"시급 8,720",21시간전
전남 여수시,할리스 여수웅천점에서 마감 직원을 구합니다.,15:30~22:30,"월급 1,500,000",3분전
전남 여수시,할리스 여수웅천점에서 마감 직원을 구합니다.,15:30~22:30,"월급 1,200,000",5분전
부산 사상구,할리스 사상광장점 주말미들모집(여),10:00~17:00,"시급 9,000",9분전
전남 여수시,할리스커피 여수웅천점에서 직원을 구합니다.,09:00~15:30,"시급 8,720",9분전
서울 송파구,할리스커피 아시아선수촌에서 성실하고 책임감 강한 직원/매니저 모십니다,13:00~18:00,"시급 9,000",36분전
서울 송파구,할리스커피 아시아선수촌에서 성실하고 책임감 강한 알바/직원을 모십니다,18:00~22:00,"시급 9,100",42분전
서울 송파구,할리스커피 아시아선수촌에서 성실하고 책임감 강한 직원/매니저 모십니다,13:00~22:00,"시급 9,150",44분전
전북 전주시,"전주 신시가지 할리스커피 PT 모집(월화수목19-22시,금12-17시)",19:00~22:00,"시급 8,720",49분전
서울 전체,할리스이대점에서  함께 일할 성실하고  밝은 성격의 직원을 구합니다,시간협의,"월급 1,900,000",57분전
충북 청주시,할리스커피 청주성화점에서 주말마감 PT를 모집합니다,16:00~23:00,"시급 8,720",1시간전
부산 해운대,"할리스커피 해운대점에서 평일 마감(월,화,수,목,금) 파트타이머 모집합니다.",18:00~23:00,"시급 8,720",1시간전
경기 화성시,할리스화성융건릉점에서 주말 마감 파트타임 모집합니다.,19:30~22:00,"시급 9,000",1시간전
경기 화성시,할리스커피 동탄점 아르바이트 구합니다.,시간협의,"시급 8,720",1시간전
충북 청주시,할리스커피 청주명암레이크점 직원 채용,시간협의,"월급 1,830,000",1시간전
인천 연수구,할리스커피 인천연수CGV점 주말 파트타이머 채용,13:00~17:00,"시급 8,720",1시간전
광주 서구,"할리스커피 광주아울렛점 월,화,수 마감 파트타이머 모집",18:00~22:00,"시급 8,720",1시간전
경기 수원시,[할리스커피] 수원망포점에서 월화 미들 파트파이머 채용 모집합니다.,10:30~14:00,"시급 8,720",1시간전
서울 강북구,할리스커피 수유사거리점 저녁 미들PT구함(수.목),18:00~21:00,"시급 8,720",2시간전
서울 관악구,할리스커피 신림점 주말 마감 파트타이머 구합니다,18:00~22:00,"시급 8,720",2시간전
서울 종로구,[매니저] 주2회 휴무 매니저 구합니다.,13:00~21:00,"월급 1,850,000",2시간전
서울 종로구,[매니저] 주2회 휴무 매니저 구합니다.,13:00~21:00,"월급 1,850,000",2시간전
